ID,src,Node 1,Node 2,Node 3,Node 4,Node 5,Node 6,Node 7,Node 8,Node 9,Node 10,Node 11,Node 12,Node 13,Node 14,Node 15,Node 16,Node 17,Node 18,Node 19,Node 20,Node 21,Node 22,Node 23,Node 24,Node 25,Node 26,Node 27,Node 28,Node 29,Node 30,Node 31,Node 32,Node 33,Node 34,Node 35,Node 36,Node 37,Node 38,Node 39,Node 40,Node 41,Node 42,Node 43,Node 44,Node 45,Node 46,Node 47,Node 48,Node 49,Node 50,Node 51,Node 52,Node 53,Node 54,Node 55,Node 56,Node 57,Node 58,Node 59,Node 60,Node 61,Node 62,Node 63,Node 64,Node 65,Node 66,Node 67,Node 68,Node 69,Node 70,Node 71,Node 72,Node 73,Node 74,Node 75,Node 76,Node 77,Node 78,Node 79,Node 80,Node 81,Node 82,Node 83,Node 84,Node 85,Node 86,Node 87,Node 88,Node 89,Node 90,Node 91,Node 92,Node 93,Node 94,Node 95,Node 96,Node 97,Node 98,Node 99,Node 100,Node 101,Node 102,Node 103,Node 104,Node 105,Node 106,Node 107,Node 108,Node 109,Node 110,Node 111,Node 112,Node 113,Node 114,Node 115,Node 116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,37.06244,37.05948835,37.05965055,37.06016654,37.06078167,37.06087986,37.06084667,37.06089833,37.060975,37.060405,37.06065061,37.060765,37.0609,37.06100688,37.06114567,37.06116166,37.06168306,37.06154709,37.06199604,37.06204833,37.06205,37.06109333,37.06151167,37.06131665,37.06199053,37.0617458,37.062125,37.06262333,37.06238167,37.06235022,37.06224167,37.06269333,37.06270328,37.06310419,37.06303165,37.06357206,37.063015,37.06317167,37.06352727,37.06360533,37.06315699,37.06370906,37.06379333,37.06360167,37.06397833,37.0641,37.05981599,37.05965262,37.05959167,37.0599038,37.06003667,37.05960333,37.060185,37.06032167,37.0602075,37.05976341,37.05979667,37.06013167,37.05982909,37.06019833,37.06044167,37.060355,37.06046667,37.060825,37.059215,37.05900949,37.05871833,37.05866333,37.058455,37.05818654,37.0581658,37.05793333,37.058255,37.05790604,37.05753167,37.05746957,37.05768086,37.05851873,37.06427167,37.06464466,37.064635,37.06496014,37.06382859,37.06377,37.06310667,37.06390667,37.06378167,37.06363833,37.06632397,37.06633561,37.06165333,37.060175,37.06820934,37.06634255,37.04379874,37.05431731,37.06718884,37.06674834,37.06779594,37.06339586,37.066525,37.0662,37.06582167,37.06009178,37.066237,37.06653833,37.06007333,37.05503664,37.06383894,37.06684833,37.06692034,37.06011467,37.05466888,37.06582667,37.06618,37.059915,37.06615992,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,-2.86707,-2.867595,-2.867571667,-2.867286667,-2.867808,-2.866958333,-2.867113333,-2.8674,-2.867526667,-2.86753,-2.868025,-2.868041667,-2.868448333,-2.868923333,-2.866686667,-2.866361667,-2.866423,-2.866368333,-2.866313333,-2.86614,-2.86607,-2.866035,-2.865805,-2.865905,-2.86688,-2.866943333,-2.867136667,-2.86735,-5.96964,-5.97083488,-5.97049264,-5.97005922,-5.969943333,-5.96994095,-5.969856667,-5.969798333,-5.969391667,-5.969078333,-5.96904552,-5.968861667,-5.968798333,-5.96894074,-5.96893446,-5.96899912,-5.96898156,-5.96913332,-5.96909613,-5.969021667,-5.969,-5.969653333,-5.969623333,-5.96938047,-5.96948034,-5.96938814,-5.969233333,-5.969073333,-5.96899,-5.96897508,-5.968866667,-5.968783333,-5.96912105,-5.9692234,-5.96880101,-5.96908342,-5.969371667,-5.969565,-5.96970423,-5.96990004,-5.97003158,-5.9701406,-5.970116667,-5.970273333,-5.970321667,-5.970356667,-5.96961597,-5.9694803,-5.969276667,-5.96916888,-5.969093333,-5.96906,-5.968851667,-5.96869,-5.96858886,-5.96864341,-5.968516667,-5.968548333,-5.96842576,-5.968271667,-5.96827,-5.968495,-5.968305,-5.968303333,-5.969586,-5.96902874,-5.96909,-5.969196667,-5.969365,-5.96981733,-5.96944742,-5.96955,-5.968988333,-5.96960687,-5.969566667,-5.9696765,-5.97020088,-5.97061824,-5.970566667,-5.97077232,-5.970493333,-5.97027025,-5.97126669,-5.971266667,-5.968471667,-5.971365,-5.971475,-5.971553333,-5.97253646,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pdem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
